,Company,Position
1893,Accelerando,Senior Advisor
1894,Global Health Funds,Managing Partner
1895,Motiva Oy,"Director Communications and Marketing, Member of the Executive Team"
1896,East Wings Vigo Accelerator,Partner
1897,Sitra,Investment Director
1898,Freelance,Freelance Writer
1899,REACHLaw,"CEO, Partner, Member of Board"
1900,Management Institute of Finland MIF,Business Director / Principal
1901,Eläkkeellä,Retired
1902,Meru Health,"CEO, Founder"
1903,"Embassy of Finland in Beijing, Ministry for Foreign Affairs of Finland",Press & Culture Counsellor
1904,Föreningen Konstsamfundet r.f.,CEO
1905,Tampere University,Head of Innovation Services / Innovaatiopalvelupäällikkö
1906,Boardman Oy,Partner
1907, - Muutosammattilainen etsii projektia -,Etsin uutta tehtävää
1908,Habita International Estates Ltd.,Sales Director Habita Vietnam
1909,OP Financial Group,Brand Manager
1910,Fiare Solutions Oy,Chairman Of The Board
1911,Profium Oy,Chairman
1912,Nitro Games Plc,"Chief Strategy Officer (CSO), Board Member, Co-Founder"
1913,Taivas + helvetti (One on One Oy),Founder
1914,eMabler- The eMobility Enabler,Member Of The Board
1915,"Bridgestone Europe NV/SA, Suomen sivuliike",Key Account Manager
1916,Wellness Foundry,"Founder, CEO"
1917,Antolainen Consulting Ltd ,.
1918,Aalto University,"Manager, CRM & Analytics"
1919,Rianno Communications,CEO
1920,Pillars4CustomerValue,"Founder, Customer Value Innovator, Chair of the Board at Arvova Ltd"
1921,Spinas Civil Voices,Head of Digital
1922,Heltti,Disruptor of Health Services & CEO
1923,Inventure,"Partner, Co-founder"
1924,Family in Music,Partnerships Director
1925,redandblue Finland,Founding Partner / Designer
1926,Espoon kaupunki - Esbo stad - City of Espoo,"Director of Economic Development,  Executive Team Member"
1927,Sitra,Director
1928,Kasvuraketti Oy,Chairman and business consultant
1929,HC Services Oy,"Linkedin-kouluttaja - somerekrytointi, employer branding, social selling, B2B-markkinointi"
1930,Book Salon,Founder
1931,Liaison Technologies,"Director, OpenText + Liaison, TechOps EU And Application Engineering EU"
1932,Verso Capital Oy,Partner
1933,GAM,Senior Project & Quality Manager
1934,Savonia University of Applied Sciences,Research And Development Manager
1935,Silo.AI,"Chairman, Co-Founder"
1936,AAA Capital Oy,CEO
1937,Givget Oy,"CEO, Founder, Partner"
1938,Qvik,"Chief Executive Officer, Co-Founder"
1939,Parliament of Finland,Member of Parliament
1940,Durandal Oy member of Brave Alliance ,Executive Partner
1941,Viestintäpalvelu Taika Oy,Chairman Of The Board
1942,Telia Finland,Senior Innovation Manager
1943,Inderes Oy,"Partner, Head of Research"
1944,"Tekes, Finnish Funding Agency for Technology and Innovation",Senior Legal Counsel
1945,Business Finland,"Ecosystem Lead, Innovation Ecosystems, Platforms"
1946,DNA Oyj,Business Manager
1947,Tesi (FII) ,Head of Direct VC Investments
1948,NatureXP,Owner and Wilderness Guide
1949,Viafin Service Oyj,Member of the Board of Directors
1950,Oura,Co-Founder
1951,Own consulting practice,Business Designer
1952,Deveplan Oy,Senior Consultant in Start-up Enterprise Development and EU Funding
1953,Revieve - Digital Beauty Advisor,CEO and Founder
1954,Siili Solutions Oyj,"CIO, Director, Continuous Services"
1955,Seriously Digital Entertainment,CEO & Co-Founder
1956,Edapco Oy,CEO
1957,Eficode,Board Member
1958,Etsimo Healthcare Ltd,"CEO, Co-founder"
1959,IAS NIR solutions,"Director, European Market Development"
1960,Beyond Animal,Investor Relations Manager
1961,The Qt Company,Senior Vice President Product Management
1962,University of Vaasa,CISO
1963,Vitalfield Technologies USA Inc.,Co-Founder & CEO
1964,Nokia Networks,"Head of Business Product Management, TD LTE Business Line"
1965,Tampere University of Technology,Doctoral Student
1966,Amazon Robotics,Senior Product Manager
1967,Family in Music,Chief Financial Officer
1968,NAU IB Capital,Director
1969,Sitra,"Senior Lead, Venture Capital and Risk Management"
1970,Vendep Capital,General Partner at Vendep Capital
1971,"Fredman International and Fredman Perfect Kitchen, part of Fredman Group",Marketing Director
1972,HyperIn,President and CEO
1973,HappySignals Ltd,"Country Manager, Americas and angel investor"
1974,Casambi Technologies Oy,Partnerships
1975,TactoTek,VP Integrated Solutions
1976,Turku School of Economics,Researcher
1977,PixArt Imaging Inc,Senior Director
1978,Fingertip Ltd.,"Founder, CEO"
1979,PwC Finland,CEO
1980,Boardman Oy,"Executive Partner, Boardman and Founder of Studio Brand Compass Group since 2010"
1981,,
1982,Finnvera Plc,Financing Manager
1983,Valtti Meteoriitti,Senior Project Manager
1984,SAP,Senior Account Executive
1985,Small Giant Games,Co-founder & Chairman at Small Giant Games
1986,MultiTaction - Collaborative software solutions,CEO
1987,Business Oulu,Senior Advisor
1988,Candarine,CEO & Co-Founder
1989,Acolad Group,Business Development Manager
1990,Supercell,Co-founder and Game Lead
1991,Yara International,"Managing Director, Yara Growth Ventures"
1992,Finnanimation,Executive Director
1993,UCB,Immunology Customer Partner
1994,Intellipocket Oy,Chairman & CTO
1995,World Athletics (former IAAF),Council Member
1996,InsightsAtlas,CEO and Founder
1997,Simsbury A Better Chance,Resident Tutor
1998,Husbanken,Direktør Kunnskap
1999,Wild Hostel and Restauran Patagonia,CEO FOUNDER
2000,Helsingin ja Uudenmaan sairaanhoitopiiri - Hospital District of Helsinki and Uusimaa (HUS),Procurement Manager
2001,TheFactory - The Nordic Accelerator & Incubator,Co-Founder & COO
2002,Prinnox Oy,CEO
2003,Futuria Consulting,Science Fiction Writer and Storyteller
2004,FinNode,"Director, FinNode USA"
2005,Finnish Venture Capital Association,Operations Manager
2006,Valoro Oy,Asiakkuusjohtaja
2007,TGS Baltic,Partner
2008,Agora Networks Oy,Member of the Board
2009,Teleste Plc Oyj,Chairman Of The Board
2010,CMI (Crisis Management Initiative),CFO / Director Finance and Administration
2011,BaltCap,Partner of Growth Fund
2012,Taaleri Energia Ltd,Investment Director
2013,Loudspring Plc,Founder / Chairman / Deputy Chairman / Member of the Board / Chief Executive
2014,PwC Suomi,"Partner - Advisory, Transaction Services and Business Restructuring"
2015,"VIVITA, Inc.",Co-Founder & CEO of VIVITA International and VIVITA Estonia
2016,"Retired, Enjoy helping others",Advisor
2017,TrademarkNow,CEO
2018,Houston Analytics Ltd,Head of Marketing
2019,Independent Senior Management Consultant and Trainer,Senior Management Consultant and Trainer
2020,Edistia,Member Of The Board Of Directors
2021,CardioLync,Founder and CEO
2022,LeadDesk,VP of Product and Marketing
2023,Financial Services,Corporate Development Associate
2024,IPR.VC Fund,"Partner, Co-Founder"
2025,Nexetic,   Founder
2026,Libera la Musica Ltd.,CEO & Co-Founder
2027,Business Finland,Head of Global Innovation Partnership Program (GIPP)
2028,Siemens AG Mobility Division,M&A
2029,Työ- ja elinkeinoministeriö – Ministry of Economic Affairs and Employment (Finland),"Chief Specialist, Space policy"
2030,"Department of Computer Science, University of Helsinki",Professor
2031,Eco Key Ltd,Senior Advisor
2032,Blissful Kids,Co Founder & Curator
2033,Diktamen,Lead developer
2034,Studeo former Tabletkoulu,Advisor
2035,"Priorite, Proactum",Owner
2036,Tanssin talo,Account Manager
2037,Nokian Tyres Spain,General Manager
2038,Sinord Capital Oy,"Partner, Chairman"
2039,Business Finland,"Senior Advisor, Account Manager,  Wellbeing Industry and Digital Learning Solutions  "
2040,Codento Oy,CEO
2041,Business Finland,Senior Advisor Australia
2042,Conficap Oy,CFO
2043,Unikie,"CBO, Automotive & Intelligent Vehicles"
2044,University of Oulu,Professor
2045,Business Finland,Executive Coordinator
2046,Helsingin Sanomat,Journalist
2047,Business Finland,"Head, International Networks"
2048,Ubisoft Toronto,Lead Rendering Programmer
2049,Ministry for Foreign Affairs of Finland,Chief of Protocol
2050,Documill,CEO
2051,Health Incubator Helsinki,Startup Mentor - Coach
2052,Etendi Oy,Independent Senior Consultant
2053,IKEA Group,"Investment manager, European Lead"
2054,Aivo Health,Advisor
2055,Frozenbyte,Vice President
2056,MONOPOL LKV,A legalized real estate broker  - Kiinteistönvälittäjä LKV 
2057,Uusi Oluttehdas - Nya Bryggeriet,Co-Founder
2058,CollectiveCrunch,Vice President of Engineering
2059,Metso Outotec,"VP, Separation Business Line"
2060,ResQ Club,Market Entry Manager
2061,MB Funds,Partner
2062,Cosminen Consulting,eCommerce Consultant & Founder
2063,Turku School of Economics at the University of Turku,"Researcher, Futurist, Ph.D. Candidate"
2064,Sulapac Ltd,Sales Director
2065,Minda Labs Oy,"Sales Development, Partner"
2066,GreenPan SIA,Board member and Owner
2067,Quickclic Finland Oy,"Ceo, Innovation producer"
2068,InsiteUp Ltd.,"Partner, CFO Services"
2069,Jinan Innovation Zone - China,"Business Consultant, Head of Office"
2070,Verto Analytics,Board Member
2071,Signom Ltd,CEO
2072,Edita Publishing Ltd.,Development Manager - International Business
2073,GEMS Education,Head Of Music Department
2074,JV Consultant Oy,Managing partner
2075,PegasorOy,VP sales & marketing
2076,PROFict  Partners Oy,Owner together with Jarmo and Marit
2077,Voting Machine Hacking Village @ DEFCON,"Co-Founder, Co-Organizer"
2078,Business Finland,"Senior Director, Innovation Ecosystems, Industries"
2079,Supercell,Lead & Special Projects
2080,Kiwa Inspecta,HR Director
2081,Business Finland,Executive Director
2082,Lyyti,Board Member
2083,OpenOcean,General Partner
2084,Resolute HQ Inc.,CEO and Managing Partner
2085,"AlphaSense, Inc.",CEO and Founder
2086,Parcola Oy,Entrepreneur
2087,1001 Lakes Oy,CEO
2088,Vendep Capital,General Partner
2089,Consulate General of Finland in St. Petersburg,Deputy Consul General
2090,NORDSALT ,CEO
2091,HAMK Häme University of Applied Sciences,Senior Lecturer
2092,"Sari Laitinen, US Legal Counsel",Founder and Owner
2093,Duaali Ltd.,Managing Partner
2094,Alma Talent,Liiketoimintajohtaja
2095,Creandum,Operating Partner
2096,Kesko,"Executive Vice President, Chief Digital Officer"
2097,Createk Oy,Creator
2098,Inventure,Partner
2099,Lavinium Group,Managing Partner
2100,Spinverse,CFO
2101,Flexound Oy,Member of Board of Directors
2102,Nomovok Taiwan (諾莫克有限公司),Country Manager
2103,Earthster,"CEO, Co-Founder"
2104,Employee Experience Agency Emine Oy Ltd,CEO & Co-founder
2105,TietoEVRY,Sales Director
2106,Mirantis,Senior Director Of Engineering
2107,WebAitio Oy,COO & Chairman of the Board
2108,Ateneum Art Museum / Finnish National Gallery,Head of Communications
2109,Tampere University,Professor
2110,Aidon,"Director, Software & Services"
2111,Solved - The Cleantech Company,"Co-Founder, Board Member, Executive Vice President at Solved - The Cleantech Company"
2112,Senso Asia Limited ( Senso Global ),Founder & President
2113,University of Vaasa,Dean
2114,"Self employed writer, publishers AlmaTalent and Talentum",Book author
2115,"Ministry of Finance, Public Sector ICT Department",Senior Specialist
2116,OP Financial Group,"Senior Agile Coach, Chapter Lead"
2117,Verkkokauppa.com Oyj,Chief Sales Officer
2118,Accountor Finago AB,"Head of Sweden Business, Commercial Business Manager"
2119,Market Entry Partner,Managing Partner
2120,Oivan,Chief Executive Officer
2121,Nordea,Head of Authority Relations
2122,Parviainen Arkkitehdit Oy,Chairman of the Board
2123,Titanium Fund Management Company Ltd,Board Member / Investor
2124,Sofigate,Talent Specialist
2125,Imperial College Business School,Chair in Entrepreneurship and Technology Venturing
2126,LinkedIn,Sales Manager DACH
2127,Tietokeskus,System Architect
2128,Garmin,"Head of B2B, Emerging Markets (EMEA)"
2129,KoalaPartners,Partner
2130,Viestintäluotsi Oy,Founding Partner
2131,Secret Exit Ltd.,Founder
2132,Buddy Healthcare,"CTO, Co-founder"
2133,Catapult International,Founder & Chief of Development
2134,Viafin GAS Oy,Head of Business Unit Biogas
2135,Virtual Activist,Co-Founder
2136,Nextfood.co,Co-Founder CEO
2137,Agamin Ventures,Founder & Managing Partner
2138,Columdae,Senior Partner and Consultant
2139,Laesvirta Consulting,Owner / CEO / Consultant
2140,Nesenta Oy,"Research Manager, Data Analytics and Data Science"
2141,CGI,Director Consulting Services
2142,Danfoss,Communication Consultant
2143,University of Oulu,"Vice Rector/Vice President, Education"
2144,Own,Entrepreneur 
2145,University of Electronic Science and Technology of China,Professor
2146,Stella Coaching and Consulting Ltd.,"Managing Partner, Owner"
2147,"Ai4 Technologies, Inc.",Chief Executive Officer
2148,Korkia,CFO
2149,"Liikenne- ja viestintäministeriö - Ministry of Transport and Communications, FI",Director of Climate and Environment Unit
2150,"Arffman, Konsulttiverkko , P Carlson Oy",Profit Trainer
2151,Business Mentors Finland,Aluekummi / Regional Head
2152,Business Finland,Senior Advisor
2153,OMERS Ventures,Managing Partner
2154,Bugbear Entertainment Ltd.,Managing Director
2155,Soprano Plc,Founder and Board Member
2156,Boardman Oy,Managing Director
2157,Deep Sensing Algorithms Ltd,Managing Director
2158,CapMan Growth Team,Managing Partner
2159,"Regional Council of Central Ostrobothnia, Finland",Manager of International Affairs
2160,,
2161,,
2162,Youredi,Chief Architect
2163,Finpro,Sr. Consultant
2164,"Commercial Section, Royal Norwegian Embassy, New Delhi","Market Advisor (ICT, Health), Innovation Norway"
2165,Valco.fi,Founder
2166,Vataset Teollisuus,Founder&CEO
2167,HappyOrNot,Founder and Exec.VP. Growth
2168,Translink Corporate Finance,Chairman of the Board
2169,Lähimedia Oy,CEO and Co-founder
2170,Silmäexpertit Ögonexperter,Executive Vice President
2171,VTV – Valtiontalouden tarkastusvirasto / Statens revisionsverk / National Audit Office of Finland,Communications Adviser (Information Design & Web Accessibility)
2172,Commonwealth Enterprise and Investment Council,Advisory Council Member
2173,World Of Blockchains,Vice President
2174,Adeptus Partners Oy,Chairman of the Board
2175,"Intelligent Capital, Inc.",Managing Director
2176,Reddal Oy,CEO
2177,aito.ai,Chief Product Officer
2178,"TELLUS International, Inc","Founder, Chief Executive Officer"
2179,DAVOS Custody,Co-Founder and CEO
2180,Helsingin kaupunki – Helsingfors stad – City of Helsinki,Tietoturvapäällikkö
2181,Gorilla Capital ,Managing Partner
2182,Eversheds,Member of the Real Estate Management Board
2183,Mehiläinen,Occupational Psychologist
2184,Finnair,"Business Controller, Aurinkomatkat"
2185,Teezed Oy ,Entrepreneur 
2186,Lendiron Ltd,Chief Executive Officer
2187,Epic Outrun,Co-Founder
2188,Rainmaker Business,"Director, Finance and Administration"
2189,Google,"Head of Strategic Relationships, News & Publishers, EMEA"
2190,Livework studio,Senior service designer
2191,Tekes,Director
2192,Kaltio Technologies,"Specialist, Scalable Systems"
2193,Semi-retired CXO open for advisory/board of directors positions at ICT security,Business Advisor
2194,Reformi-studio,Investigative journalist
2195,Veil.ai,Account Director
2196,Business Finland,Ecosystem Lead
2197,Montel Intergalactic,Co-founder & CTO 
2198,Ministry of Employment and the Economy,Counsellor
2199,Turun yliopisto - University of Turku,Legal Scholar
2200,Business Finland,"Global Head, International Business Innovations"
2201,Business Finland,Director Healthcare
2202,Combo Breaker,"Co-founder, Lead Programmer"
2203,Nordia Attorneys,"Attorney, Partner"
2204,Loudspring Oyj,"Co-founder, Partner"
2205,Vaasa University of Applied Sciences,Principal Lecturer
2206,KONE Corporation,"Regional Sourcing Manager (EMEA), Logistics"
2207,Elisa,Digitalization Consultant
2208,Vungle,"General Manager, GameRefinery "
2209,First Fellow Partners,Co-founder & Managing Partner
2210,Huoltovarmuuskeskus,Chief Executive Officer
2211,Lumintel Ltd,CEO and Founder
2212,Tampere University,Professor
2213,Tekniikan akateemiset TEK,Head Of Communications
2214,Aluroll Oy,CEO and Chairman
2215,Cooler Future,Founder
2216,Suomalaisen Työn Liitto – The Association for Finnish Work,CEO
2217,Business Finland,"Senior Director, Designated Funding"
2218,Dottir Attorneys,Startup and Venture Attorney
2219,Eltel Group,CFO
2220,Horton International Finland,"Managing Partner, Country Manager 1/2018-1/2020 (rotating turn)"
2221,Accenture,Country Managing Director
2222,Business Finland,Senior Advisor
2223,Kasvu Consulting Pvt Ltd,Managing Director
2224,Oriola Corporation,CIO
2225,Supercell,CEO
2226,Co-founders Oy,"Partner, Strategist"
2227,RETEX Panels,Project Manager
2228,Marko Hanhikorpi,Self Employed
2229,Nexetic,Chief Executive Officer
2230,Metso Outotec,Lead Design Engineer
2231,Accountor Holding OY,President and CEO
2232,JCDecaux Finland Oy,Managing Director
2233,Enfo,Senior Sales Manager & Key Account Manager
2234,Signal Solutions Nordic Oy,"COB, Partner"
2235,Remedy Entertainment Plc,Director Corporate Development
2236,Viestintäpalvelu Taika Oy,Communications Designer / Partner/ CEO at Viestintäpalvelu Taika Oy
2237,Encore Digital Marketing Oy,Entrepreneur & CEO
2238,Action Energy Finance,Founder
2239,Vahanen Group,CEO
2240,KaiLong,Executive Director
2241,Dekati,CEO
2242,"Nordcloud, an IBM Company",Chief Executive Officer
2243,Jukka Ala-Mutka Growman Ltd,A One-man Think Tank | Growth Hacker | Keynote Speaker | Writer | Scientist
2244,"Representation in UAE and MENA, Global Networking",Independent Contractor
2245,Smartly.io,"Founder, CEO"
2246,Basemark,Executive Chairman of the Board
2247,Ab Chipsters Food Oy,Interim Chief Operating Officer
2248,EAS Project Oy,Strategic Advisor
2249,Frosmo,"CEO, Founder"
2250,Cajo Technologies,President
2251,Argia ky - Lisää hyvää,"CEO, Founder"
2252,Supercell,COO & CFO
2253,Dell EMC,Business Development Manager
2254,Microop Ltd,Owner / Executive Producer / Gun for Hire
2255,Nokia Networks,Transformation Manager
2256,Business Finland,"Senior Director, Delegations"
2257,Työ- ja elinkeinoministeriö – Ministry of Economic Affairs and Employment (Finland),Development Director
2258,ABB,Principal Engineer
2259,Suomen Tekstiili & Muoti ry,Toimitusjohtaja | Managing Director
2260,MJus Ltd.,"Founder, CEO"
2261,Revieve,Co-founder & COO
2262,Beringar,"Co-CEO, Co-Founder"
2263,eLombard Plc,Senior Advisor
2264,Biztech International,Chief Executive Officer
2265,Voima Ventures,Venture Partner
2266,No company name,Retired
2267,LOL Laughing Out Loud,"Print, radio, TV, love journalist, producer, director"
2268,DIFF - Ingenjörerna i Finland,Senior Rådgivare
2269,Growhold,"Founder, CEO"
2270,Fintoc (YC W21),Investor
2271,Aiforsite Oy,CTO
2272,FPI Partners Ltd.,Managing Partner
2273,ZenRobotics Ltd.,Board Member
2274,Sitra,Investment Director
2275,"Advisory, Corporate Finance",Senior Manager
2276,Cine-A,CVO - Chief Video Officer
2277,Narola Infotech,CEO
2278,eBrands Global,CEO & Co-founder
2279,Aalto University Studios,Manager of International Projects and Collaboration
2280,Lakeside Startup Advisory,Managing Director
2281,Luotsi Capital Oy | Luotsi Asuntorahasto Ky,CEO
2282,Aqsens Health Ltd,CEO
2283,Helsinki Business Hub,Senior Venture Advisor & Director (int.)
2284,Sisu Game Ventures,Founding Partner
2285,Tekniikan akateemiset TEK,TEK valtuustovaalien kandidaatti (Yhtenäinen TEK ja Teekkarihenki) - numero 146
2286,Housemarque,Creative Director
2287,Unikie,Vice President & General Manager
2288,Nostetta Ventures,Managing Partner
2289,Supercell,Game Lead
2290,Maki.vc,Partner
2291,Neste,"Head of Legal, M&A and Corporate"
2292,Business Joensuu Oy,Project Development Manager
2293,Studio Yin Oy,Chairman of the Board
2294,Springvest Oy,Chief Executive Officer
2295,Startup Foundation,Chief Executive Officer
2296,buildingSMART Finland,Chair of Infrastructure business group
2297,Veraventure Oy,Manager
2298,Tampere University,"Director, Innovation services and Partnerships"
2299,HappyOrNot Ltd.,"Founder, Executive VP"
2300,Ministry for Foreign Affairs of Finland,Senior Specialist / Commercial Counsellor
2301,Vendep Capital,General Partner
2302,Insplan Oy,Member Board Of Directors
2303,NIRAS Finland,Senior Consultant
2304,Eko Harden Technologies,Sales Director
2305,EGN Suomi ,Chair
2306,Kova PMC ,"Advisor (Finland, Israel)"
2307,Sansia Oy,Controller
2308,Dreamex Consulting,Founder of Dreamex Consulting and European Insiders
2309,DigiFinland Oy (ex Sotedigi Oy),Board Member
2310,Kasvuryhmä,Member
2311,Sparkmind.vc,"Partner, Co-Founder"
2312,Karesto,Independent Business Development Professional
2313,Self Employed,Independent Advisor
2314,Business Finland,"Commercial Counsellor, China Country Director, Kiinan maajohtaja"
2315,CLIC Innovation Oy,Senior Advisor to the Board
2316,Gaia Consulting Oy,Leading consultant
2317,Nexit Ventures,Partner
2318,La Vardera & Associates,Senior Partner
2319,Sitra,Project Director
2320,Business Finland,Development Manager
2321,Noodelist,Founder & CEO
2322,Housemarque,CEO
2323,European Commission,Legal & Financial NCP for EU research and innovation framework programme
2324,Novartis Finland ,"Head Market Access, Finland & Country Manager, Iceland"
2325,Business Finland,Head Of Marketing
2326,Tarpaper Recycling Finland Oy,Chief Executive Officer
2327,Ewell Oy,Senior consultant
2328,G2 Invest Oy,CEO & Chairman
2329,Business Finland,Country Director
2330,AfricaHouse/Pienaar Consulting,"US Investor Readiness, Technology Commercialisation, Innovation, Angel Investment, Advisor"
2331,European Private Equity and Venture Capital Association (EVCA),member of venture council
2332,Basemark,Chief Executive Officer
2333,Aalto University Campus & Real Estate,Head of Business Development and Sustainability
2334,Forum Virium Helsinki,Project Manager – Smart Learning Environments of the Future
2335,TPJ Capital Ltd,Managing Partner
2336,The Taplow Group S.A.,Senior Partner
2337,Tekes,Senior Business Adviser
2338,HitSeed,Partner
2339,Design Forum Finland,CEO
2340,G.R. & K.G Idman foundation,CEO
2341,Global Enabler Corporation,Co-Founder & CEO
2342,Government Strategy Department at the Prime Minister's Office,Senior Specialist
2343,Veraventure Ltd,Managing director
2344,Business Finland,Chief Adviser
2345,Gemilo,"CEO, founder"
2346,Technopolis – More than Squares,"System Manager, CRM & Marketing Automation"
2347,IPR.VC,"Managing Partner, Co-founder"
2348,Aalto University,Professor of Venture Capital
2349,,
2350,Benemen,CEO
2351,Business Finland,"Senior Director, Head of Unit, Large Company and Public Research Funding"
2352,Revonte,"CEO, Co-founder"
2353,Tekes,Programme Manager
2354,Business Finland,Senior Advisor
2355,Neogames Finland Assn.,Director
2356,", worked at Tekes until August 2017",Retired
2357,Aldanella Oy,Business Coach
2358,Finnish Standards Association SFS,Managing Director
2359,Redhill Games,CEO and Co-Founder
2360,NIRAS Finland,Chief Technical Advisor BioFISA II
2361,inBliss Oy,Owner
2362,Business Finland,Product Manager
2363,"BMI Suomi (Icopal Oy, Icopal Katto Oy, Ormax Tiilikatot)",Marketing Manager
2364,Business Finland,Service Development Manager
2365,Tekes,Technology Manager
2366,Business Finland,Commercial Counsellor
2367,Turun kaupunki - Åbo stad - City of Turku * Pohjoinen kasvuvyöhyke | Northern Growth Zone ,"Director, Strategic Alliances "
2368,Business Finland,Financial Manager
2369,Business Finland,Head of EU Initatives
2370,Business Finland,"Executive Director, Funding Services and Support & Enablement"
2371,Valtiokonttori,Project manager
2372,Tekes,Senior Technology Adviser
2373,Agenssi Oy,"People Pro, Leadership Coach,  Collaboration Specialist and Partner at Agenssi Oy"
2374,retired and enjoying,independent
2375,Nordic Healthcare Group,Senior Partner
2376,Superhero Capital - looking for the next Superheroes,Founding Partner
2377,Change Ventures,Investment Partner
2378,"Rigaku Analytical Devices, Inc.","Sales & Marketing Director, EMEAI"
2379,(no company),Freelance Consultant
2380,Xinova,Director
2381,Työ- ja elinkeinoministeriö – Ministry of Economic Affairs and Employment (Finland),Director of unit / Teollisuusneuvos
2382,Business Finland,"Director, large companies and public organisations "
2383,Business Finland,Senior Business Adviser
2384,Ministry of Economic Affairs and Employment (Finland),Head of Development
2385,Spinverse,"Founder, Chairman"
2386,STEK (Sähkötekniikan ja energiatehokkuuden edistämiskeskus ry),Communications Manager
2387,EBS ltd.,Managing Director
2388,Seikkailupuisto Huippu Oy,Chairman of the Board
2389,Business Angels Finland Oy,Founder/consult
2390,Ario,CEO and Founder
2391,Innovative Ideas Oy,President
2392,Aivo Health,CEO & Founder
2393,Tikura Ltd.,Managing Partner
2394,Loudspring Oyj,CEO
2395,Maisala.net,CEO
2396,Huawei,Business Development Director
2397,Atomico,Atomico Angel Program
2398,Wakeone,Chief Product Officer
2399,Finnvera Oyj,"Senior Vice President, Administration"
2400,European Investment Bank (EIB),Growth capital and innovation financing
2401,Very Special Real Estate,Creative Director -  Business Development Director - Communications & Marketing 
2402,Unicorn Nest,"CEO, Co-founder"
2403,Technology Industries of Finland Centennial Foundation,Executive Director
2404,Business Finland Venture Capital Ltd,Investment Director
2405,LoyaltyPays International,"Chief Executive Officer, Chairman of the Board"
2406,Business Finland,Funding Adviser of Energy Efficiency Development & Renewable Energy; Investments
2407,Uplause Ltd,Executive Vice President Business Development
2408,Geomatikk Finland Oy,CTO
2409,StageZero Technologies,Chief Commercial Officer (CCO)
2410,Ginolis Ltd,Board Member
2411,Veraventure Ltd,Lawyer
2412,,
2413,TactoTek Group,CEO
2414,University of Vaasa,Professor Emerita
2415,Independent,Creative Designer
2416,FINAC ry,Chairman Of The Board
2417,Nordcloud,Cloud Advisor
2418,Retired from KT Innovation Services,Retired
2419,Innofactor,"Director, Modern Work"
2420,Tuohi Advisors Oy,Founding Partner
2421,Home,Dad and Chief Rejuvenation Officer
2422,Softline,Investment Director
2423,Heal Invest Corporation,Director
2424,Mosa Consulting,Owner and Consultant
2425,YPO,"Senior Manager, Strategic Alliances"
2426,RegPoint Ltd,"Founder, CEO"
2427,Lifeline Ventures,Founding Partner
2428,Haltian,"Director, Haltian US"
2429,LAB University of Applied Sciences,President & CEO
2430,Self-employed,Senior Advisor
2431,UL Benchmarks,Managing Director
2432,TOiP,Advisor
2433,Accelerando,SME Growth Coach
2434,Uplause Ltd,"CEO, Co-Founder"
2435,Dream Broker Oy,President and CEO
2436,MaCom - Virtual School,Chief Executive Officer
2437,University of Eastern Finland,Communications Officer
2438,Tieto Corporation,Senior Project Manager
2439,Dell Technologies,"Consultant, Product Marketing"
2440,Lifetime Group,Chief Executive Officer
2441,MariaDB Corporation,CTO
2442,POINTR by Delta Cygni Labs,COO
2443,Huawei Consumer Business Group,Laboratory Director
2444,Self-employed,Senior Industry Analyst
2445,Ministry of Finance,"Permanent Under Secretary, International and Financial Markets Affairs"
2446,Helsinki Festival,"Artistic Director, Helsinki Festival "
2447,Eeva Kiuru,Health Innovation Educator & Facilitator. MSc (Eng). Certified teacher
2448,Natural Resources Institute Finland (Luke) / Luonnonvarakeskus (Luke),IPR Manager
2449,Tekes,Programme Manager
2450,Optitune,Chairperson
2451,Gearshfit Group Oy,Managing Partner
2452,Kuuasema Ltd.,CEO and Co-Founder
2453,Yleinen työttömyyskassa YTK,Chairman
2454,Smartmile,Advisor
2455,Taboola,Head of Strategy
2456,Technopolis Plc,"Director, UMA Workspace"
2457,Nordic West USA,Chief Executive Officer
2458,Nvidia Corporation,Senior Director
2459,Oivan,"Co-Founder, Head of the Middle East"
2460,Keysight Technologies,Director (New Growth)
2461,InnoCon Valley,"Founder, CEO"
2462,Axlis Ltd.,"Chairman of the Board, owner"
2463,Retail Logistics Excellence - RELEX,"Co-founder and President, North America"
2464,Lagoon Capital Oy,Angel investor and entrepreneur
2465,Konecranes,Communications Specialist
2466,Voima Ventures,Founder & Manging Partner
2467,Visma Solutions Oy,ISV Manager
2468,HAAGA-HELIA University of Applied Sciences,R&D manager
2469,Coup4,Chairman Of The Board
2470,BroadBit Batteries,CEO
2471,Business Finland,"Senior Director, CIO"
2472,Ohjelmistoyrittäjät ry Finnish Software Entrepreneurs,Chairman of the Board
2473,Hublet,Member of the Board of Directors
2474,Apprix Oy,"Managing Partner, Chairman of the Board"
2475,Zynga,Product Lead
2476,Sammio Oy,"Managing Director, Chairman of the Board, Co-Owner"
2477,Lifeline Ventures,Founding Partner
2478,Innovestor Ventures Ltd,Partner
2479,e21 Solutions Oy,CEO
2480,"Pragmatic Solutions, Inc.",Senior Frontend Developer
2481,Conor Venture Partners,"Co-Founder, Partner"
2482,metacore,"CEO, Co-Founder"
2483,IBM,Alliance Executive
2484,Codento Oy,"Business Director, Consultant"
2485,Houston Analytics Ltd,Chief Financial Officer
2486,Skylight Cyber Security,Chief Executive Officer
